Node Name,Seed,Test Accuracy,Test Precision,Test Recall,Test F0.5-Score,Test F1-Score,Test F2-Score,Test Conf. Matrix,All Accuracy,All Precision,All Recall,All F0.5-Score,All F1-Score,All F2-Score,All Conf. Matrix
r209n06.gzip,2,0.97,0.51,0.89,0.56,0.65,0.77,"[[2401   76]
 [  10   79]]",0.97,0.33,0.94,0.38,0.49,0.68,"[[12284   358]
 [   12   176]]"
r209n06.gzip,8,0.97,0.56,0.91,0.61,0.7,0.81,"[[2416   62]
 [   8   80]]",0.97,0.35,0.94,0.4,0.51,0.7,"[[12329   318]
 [   11   172]]"
r212n17.gzip,2,0.99,0.55,0.46,0.53,0.5,0.48,"[[2131   10]
 [  14   12]]",0.99,0.41,0.67,0.44,0.51,0.6,"[[10742    45]
 [   15    31]]"
r212n17.gzip,8,0.99,0.42,0.65,0.45,0.51,0.59,"[[2129   18]
 [   7   13]]",0.99,0.31,0.86,0.35,0.45,0.63,"[[10690    94]
 [    7    42]]"
r210n15.gzip,2,0.96,0.55,0.85,0.59,0.67,0.76,"[[2436   86]
 [  19  105]]",0.97,0.4,0.92,0.45,0.56,0.73,"[[12556   391]
 [   23   259]]"
r210n15.gzip,8,0.94,0.43,0.83,0.48,0.57,0.7,"[[2400  129]
 [  20   97]]",0.96,0.35,0.92,0.4,0.5,0.69,"[[12439   501]
 [   23   266]]"
r221n05.gzip,2,0.94,0.78,0.94,0.81,0.85,0.9,"[[1618  110]
 [  25  397]]",0.96,0.67,0.96,0.72,0.79,0.89,"[[9401  430]
 [  35  884]]"
r221n05.gzip,8,0.93,0.76,0.93,0.79,0.84,0.89,"[[1611  122]
 [  28  389]]",0.94,0.57,0.95,0.62,0.71,0.84,"[[9217  636]
 [  45  852]]"
r233n14.gzip,2,0.99,0.9,0.94,0.91,0.92,0.93,"[[2344   21]
 [  12  188]]",0.99,0.8,0.97,0.83,0.88,0.93,"[[12329    97]
 [   12   384]]"
r233n14.gzip,8,0.98,0.82,0.95,0.84,0.88,0.92,"[[2330   41]
 [   9  185]]",0.99,0.74,0.98,0.78,0.85,0.92,"[[12285   135]
 [    9   393]]"
r234n10.gzip,2,0.99,0.48,0.86,0.53,0.62,0.74,"[[2225   26]
 [   4   24]]",0.99,0.33,0.93,0.38,0.49,0.68,"[[11234   104]
 [    4    51]]"
r234n10.gzip,8,0.99,0.52,0.88,0.57,0.66,0.77,"[[2236   19]
 [   3   21]]",0.99,0.31,0.94,0.36,0.47,0.67,"[[11226   113]
 [    3    51]]"
r232n05.gzip,2,0.99,0.5,0.72,0.53,0.59,0.66,"[[2081   21]
 [   8   21]]",0.99,0.29,0.83,0.34,0.43,0.61,"[[10511    96]
 [    8    40]]"
r232n05.gzip,8,0.98,0.38,0.64,0.41,0.48,0.56,"[[2080   26]
 [   9   16]]",0.99,0.3,0.81,0.34,0.44,0.6,"[[10497   104]
 [   10    44]]"
r214n09.gzip,2,0.97,0.09,0.28,0.1,0.14,0.2,"[[1903   51]
 [  13    5]]",0.98,0.17,0.73,0.2,0.28,0.44,"[[9632  177]
 [  14   37]]"
r214n09.gzip,8,0.97,0.12,0.29,0.13,0.16,0.22,"[[1905   46]
 [  15    6]]",0.99,0.24,0.71,0.28,0.36,0.51,"[[9693  115]
 [  15   37]]"
r231n18.gzip,2,0.97,0.25,0.5,0.28,0.33,0.42,"[[1617   33]
 [  11   11]]",0.98,0.2,0.69,0.23,0.31,0.46,"[[8173  137]
 [  15   34]]"
r231n18.gzip,8,0.98,0.38,0.42,0.39,0.4,0.41,"[[1628   18]
 [  15   11]]",0.99,0.27,0.68,0.31,0.39,0.52,"[[8227   85]
 [  15   32]]"
r227n07.gzip,2,0.96,0.39,0.72,0.43,0.5,0.61,"[[2241   80]
 [  20   51]]",0.97,0.26,0.84,0.31,0.4,0.59,"[[11463   347]
 [   23   124]]"
r227n07.gzip,8,0.96,0.4,0.76,0.44,0.52,0.64,"[[2247   78]
 [  16   51]]",0.97,0.28,0.88,0.33,0.43,0.62,"[[11489   322]
 [   18   128]]"
r217n01.gzip,2,0.98,0.95,0.96,0.95,0.95,0.96,"[[2225   43]
 [  32  780]]",0.98,0.85,0.97,0.87,0.91,0.95,"[[13491   284]
 [   42  1579]]"
r217n01.gzip,8,0.98,0.95,0.96,0.95,0.95,0.96,"[[2232   44]
 [  33  771]]",0.98,0.87,0.97,0.89,0.92,0.95,"[[13544   232]
 [   47  1573]]"
r210n01.gzip,2,0.95,0.93,1.0,0.94,0.96,0.98,"[[ 660   99]
 [   6 1254]]",0.88,0.63,1.0,0.68,0.78,0.89,"[[6859 1179]
 [   6 2048]]"
r210n01.gzip,8,0.9,0.86,1.0,0.89,0.93,0.97,"[[ 571  197]
 [   2 1249]]",0.79,0.49,1.0,0.55,0.66,0.83,"[[5881 2148]
 [   2 2061]]"
r209n15.gzip,2,0.95,0.26,0.66,0.3,0.37,0.5,"[[2037   88]
 [  16   31]]",0.97,0.31,0.88,0.36,0.46,0.64,"[[10404   298]
 [   19   135]]"
r209n15.gzip,8,0.96,0.35,0.82,0.4,0.49,0.65,"[[2044   77]
 [   9   42]]",0.97,0.3,0.91,0.35,0.45,0.65,"[[10397   312]
 [   13   134]]"
